SQL> @"/package/ugiman/ug/utilities/DIRT/SQL/owned_outside_get.sql"

PITEM_ID                      POS_USERNAME        PNAME
----------------------------------------------------------------------
84D715165G1                   migration_user      dba
84E905195H2                   migration_user      dba
84A228922P4                   migration_user      dba
L200DP25                      migration_user      dba
84D734106ABP1                 migration_user      dba
84D735450ABH1                 migration_user      dba
84D734121ABH1                 migration_user      dba
84A229919AC-1                 infodba             dba
84A232470P20                  migration_user      dba
84B540059P2                   migration_user      dba
84E905156H1                   migration_user      dba
84A226946P4                   migration_user      dba
84D740290G1                   migration_user      dba
84D740286P1                   migration_user      dba
84D734104ACG2                 migration_user      dba
84D736732AJP3                 migration_user      dba
497A806P45                    migration_user      dba
84A228952P9                   migration_user      dba
84D716183P1                   migration_user      dba
41B541600ERP3                 migration_user      dba
84A228118P13                  migration_user      dba
84E905109G3                   migration_user      dba
41B548215AC                   migration_user      dba
41C641068                     migration_user      dba
84C634276G2                   migration_user      dba
41B548215AH-FAM               migration_user      dba
41B522112                     migration_user      dba
84A233228K20A                 migration_user      dba
84E905137ABP3                 migration_user      dba
84A233228P19                  migration_user      dba
84E905149                     migration_user      dba
84E905149P1                   migration_user      dba
41B541600EMP4                 migration_user      dba
84A214506AB                   migration_user      dba
41B541600ACP39                migration_user      dba
84E905147P1                   migration_user      dba
84C622607G7                   migration_user      dba
L51P19025                     migration_user      dba
84B550910                     migration_user      dba
84A233239P2                   migration_user      dba
84E905110G1                   migration_user      dba
497A806P20                    migration_user      dba
84C636498ABG1                 migration_user      dba
497A806P39                    migration_user      dba
41B541600ALP28                migration_user      dba
84C631663P4                   migration_user      dba
84E905124G5                   migration_user      dba
41B541600ANP15                migration_user      dba
84E906425G1                   migration_user      dba
84D734130P2                   migration_user      dba
84E905107G2                   migration_user      dba
84A214561P10                  migration_user      dba
84E905319G5-DLIN              migration_user      dba
84D740073G1                   migration_user      dba
84A232936P1                   migration_user      dba
84E905688G2                   migration_user      dba
84B516346AHP42                migration_user      dba
84B516346AHP12                migration_user      dba
84C603721P2                   migration_user      dba
84E902995G100                 migration_user      dba
41C640874P1                   migration_user      dba
41A213312P1                   migration_user      dba
84A226144P1                   migration_user      dba
499A910ACP31                  migration_user      dba
41A224247P1                   migration_user      dba
84A233085P1                   migration_user      dba
84A201919P2                   migration_user      dba
84A230717P3                   migration_user      dba
41A221942P2                   migration_user      dba
338B207P1                     migration_user      dba
84C633896G2                   migration_user      dba
N402AP13B13                   migration_user      dba
N509-FAM                      migration_user      dba
84E905522G7                   migration_user      dba
L14AP15016                    migration_user      dba
L14AP17016                    migration_user      dba
84E905116ABG1                 migration_user      dba
41A296326DAP4                 migration_user      dba
41A296326DHP77                migration_user      dba
84D736732AJP2                 migration_user      dba
41B519092ABP63                migration_user      dba
156B1000ADP152                migration_user      dba
41B520835P16                  migration_user      dba
41B520835P14                  migration_user      dba
84E905200P2                   migration_user      dba
41A231099-FAM                 migration_user      dba
84E902035P3                   migration_user      dba
84A230620P2                   migration_user      dba
84C634950G1                   migration_user      dba
84A233239P5                   migration_user      dba
84B540070                     migration_user      dba
84C631635P2                   migration_user      dba
41A222600ACP4                 migration_user      dba
41A296332AS                   migration_user      dba
41B541600ACP5                 migration_user      dba
497A806P142                   migration_user      dba
497A806P47                    migration_user      dba
497A806P101                   migration_user      dba
497A806P134                   migration_user      dba
84B518692                     migration_user      dba
84E905107G1-DLIN              migration_user      dba
84E905522G106                 migration_user      dba
41B519489VYP3                 migration_user      dba
84C632201AB                   migration_user      dba
84B526187P3                   migration_user      dba
84E905198G2                   migration_user      dba
84C640137G7                   migration_user      dba
84A221559P1                   migration_user      dba
84E905211G7                   migration_user      dba
84C603793P2                   migration_user      dba
41B541600AQP13                migration_user      dba
41B541600SHP1                 migration_user      dba
84C606201                     migration_user      dba
GETMODULE_INCH                infodba             dba
41A224217P1                   migration_user      dba
84C603721P1                   migration_user      dba
84E905746ABP1                 migration_user      dba
84E905200P1                   migration_user      dba
84E905326G2                   migration_user      dba
41B541600HBP8                 migration_user      dba
84E906425G3                   migration_user      dba
41A213472P1                   migration_user      dba
N533-FAM                      migration_user      dba
L114-FAM                      migration_user      dba
84A231557P65                  migration_user      dba
84A215459P3                   migration_user      dba
84B546514P1                   migration_user      dba
155B9008ACP205                migration_user      dba
84B538271P2                   migration_user      dba
84A233228P21                  migration_user      dba
84A228984P1                   migration_user      dba
84A228961P7                   migration_user      dba
84C625397                     migration_user      dba
84C631604ABG1-DLIN            migration_user      dba
84E905328G1                   migration_user      dba
84A201733P23                  migration_user      dba
84A201733P6                   migration_user      dba
84A201733P16                  migration_user      dba
41A223055                     migration_user      dba
41B541600EMP16                migration_user      dba
41B522016P2                   migration_user      dba
84E905110G7                   migration_user      dba
84A220364                     migration_user      dba
84A230639P1                   migration_user      dba
84A233239                     migration_user      dba
497A806P21                    migration_user      dba
497A806P44                    migration_user      dba
84A236997                     migration_user      dba
84B545064                     migration_user      dba
84A231552P2                   migration_user      dba
84A231552P7                   migration_user      dba
84C633525G2                   migration_user      dba
84D734109P1                   migration_user      dba
84D734129                     migration_user      dba
41B541600ALP24                migration_user      dba
41B541600ANP8                 migration_user      dba
84B544586ABP3                 migration_user      dba
156B6205UWP51H                migration_user      dba
41A222600                     migration_user      dba
41A222600P8                   migration_user      dba
41A222600P12                  migration_user      dba
84B551269P1                   migration_user      dba
84B540929AB                   migration_user      dba
84E905326                     migration_user      dba
41A213312                     migration_user      dba
41B520767P15                  migration_user      dba
84A232712P5                   migration_user      dba
84E905198G1                   migration_user      dba
84C640136ABG1                 migration_user      dba
84E905194AB                   migration_user      dba
84C640138P1                   migration_user      dba
84C640168                     migration_user      dba
84C640971                     migration_user      dba
84B540016P1                   migration_user      dba
84B516346AHP69                migration_user      dba
84C637958AB                   migration_user      dba
84D718892P1                   migration_user      dba
84D740072                     migration_user      dba
GETMODULE_METRIC              infodba             dba
84A229919AF                   infodba             dba
L401P29                       migration_user      dba
84E905158P5                   migration_user      dba
41B522014P2                   migration_user      dba
84E905133H1                   migration_user      dba
84B538201P2                   migration_user      dba
84D740104H2                   migration_user      dba
41A219134P3                   migration_user      dba
84D740070G5                   migration_user      dba
84C633775ACG2                 migration_user      dba
84B544587ADG1                 migration_user      dba
499A910ACP4                   migration_user      dba
84A201738-FAM                 migration_user      dba
41A296326DAP2                 migration_user      dba
41A296328AXP9                 migration_user      dba
84C636497ACG1                 migration_user      dba
155B9005ACP209                migration_user      dba
L14AP19070                    migration_user      dba
84A233228P18                  migration_user      dba
84A228961P4                   migration_user      dba
84A233238P1                   migration_user      dba
84A228118P14                  migration_user      dba
84B538201P1                   migration_user      dba
84D740051P1                   migration_user      dba
41B520835P15                  migration_user      dba
41B541600BHP5                 migration_user      dba
84C650082G4                   migration_user      dba
41B541600BFP2                 migration_user      dba
L115P21030                    migration_user      dba
499A910AMP9                   migration_user      dba
41B541600ACP51                migration_user      dba
41B541600ACP10                migration_user      dba
497A806P149                   migration_user      dba
497A806P89                    migration_user      dba
497A806P61                    migration_user      dba
84B526119G1                   migration_user      dba
84C634735G4                   migration_user      dba
41B541600ALP23                migration_user      dba
84C606830P2                   migration_user      dba
41B541600ATP23                migration_user      dba
84D715318H1                   migration_user      dba
84E905522G3                   migration_user      dba
41B537660                     migration_user      dba
41B541600JKP6                 migration_user      dba
41B541600JKP3                 migration_user      dba
84C638428                     migration_user      dba
84A220939P7                   migration_user      dba
84A237162                     migration_user      dba
84A228118ABP101               migration_user      dba
41A213846AB                   migration_user      dba
41B520767P18                  migration_user      dba
84B543307ABP1                 migration_user      dba
84E905198G1-DLIN              migration_user      dba
84D740056G7                   migration_user      dba
84B516346AHP17                migration_user      dba
41B541600AAP26                migration_user      dba
41A317993P1                   migration_user      dba
84D718892P2                   migration_user      dba
84C631636P2                   migration_user      dba
41A213226P1                   migration_user      dba
338B208P1                     migration_user      dba
41A221572P128                 migration_user      dba
84A228952P2                   migration_user      dba
41B541600SHP2                 migration_user      dba
156B6205CCP172F               migration_user      dba
L114P23060                    migration_user      dba
41C610752P62                  migration_user      dba
84C602579P1                   migration_user      dba
41A222600P6                   migration_user      dba
N5700P43                      migration_user      dba
84D713144G1                   migration_user      dba
84B530434AC                   migration_user      dba
84C632211P1                   migration_user      dba
84E905137ABP1                 migration_user      dba
84C640112P1                   migration_user      dba
84A215459G1                   migration_user      dba
84B538214                     migration_user      dba
84C631635G1                   migration_user      dba
84C631635P1                   migration_user      dba
84D734111                     migration_user      dba
84D735481                     migration_user      dba
41B541600ACP13                migration_user      dba
41B541600ACP43                migration_user      dba
497A806                       migration_user      dba
497A806P10                    migration_user      dba
84C641666                     migration_user      dba
84D737103                     migration_user      dba
156B6205WK57A                 migration_user      dba
84A231557P19                  migration_user      dba
41B541600JKP14                migration_user      dba
84A231552                     migration_user      dba
84B540348                     migration_user      dba
41B520767P3                   migration_user      dba
84D735486                     migration_user      dba
41B522014P3                   migration_user      dba
84B543269ABP1                 migration_user      dba
84E902027G1                   migration_user      dba
84B516346AHP64                migration_user      dba
84B516346AHP79                migration_user      dba
84C636527AB                   migration_user      dba
84D734114ABG1                 migration_user      dba
84A229919AB-2                 infodba             dba
84A229916BP                   infodba             dba
AUTOFILLINCHA                 infodba             dba
INCH_DXF_TEMPLATE             infodba             dba
BL148909                      infodba             dba
41B541600GBP2                 migration_user      dba
84A232470P21                  migration_user      dba
84B540058P2                   migration_user      dba
84E905134P1                   migration_user      dba
N5700P34                      migration_user      dba
428C215P1                     migration_user      dba
497A806P118                   migration_user      dba
156B6377BSP289F               migration_user      dba
41A222600ACP3                 migration_user      dba
84A214555P12                  migration_user      dba
84B546513P1                   migration_user      dba
84A213959P1                   migration_user      dba
84B543582P5                   migration_user      dba
84D735948ADP1                 migration_user      dba
41B541600GYP11                migration_user      dba
41A252287ACP5                 migration_user      dba
84A228961P2                   migration_user      dba
84E905268G1                   migration_user      dba
84D735486P1                   migration_user      dba
84C631604ABG1                 migration_user      dba
41A224263P19                  migration_user      dba
84B543307P11                  migration_user      dba
84B543582K1A                  migration_user      dba
84E905100                     migration_user      dba
84E905142                     migration_user      dba
84E905200P5                   migration_user      dba
84B538286                     migration_user      dba
M84E905115ABG1-MOCK           migration_user      dba
84E905115ABG1                 migration_user      dba
L51P-FAM                      migration_user      dba
41B541600AAP21                migration_user      dba
41B541600AAP2                 migration_user      dba
84B547907P1                   migration_user      dba
84E905110                     migration_user      dba
84D734132G1                   migration_user      dba
84B538287P2                   migration_user      dba
84A231552P9                   migration_user      dba
84A215459                     migration_user      dba
LIB-41B541600ACP45            migration_user      dba
497A806P117                   migration_user      dba
497A806P143                   migration_user      dba
497A806P102                   migration_user      dba
497A806P119                   migration_user      dba
84B526119G3                   migration_user      dba
84C631609G8                   migration_user      dba
84C632807                     migration_user      dba
41B541600ALP7                 migration_user      dba
84C633261P1                   migration_user      dba
84E905132G1                   migration_user      dba
84A228118ABP102               migration_user      dba
84D740352G2                   migration_user      dba
41A223002                     migration_user      dba
84A220939P8                   migration_user      dba
84B538206                     migration_user      dba
84E905282                     migration_user      dba
84E905327                     migration_user      dba
41A214356                     migration_user      dba
41A222744                     migration_user      dba
84C640134G3                   migration_user      dba
84E905198G3                   migration_user      dba
84E905103G5                   migration_user      dba
84E905158                     migration_user      dba
84C636527ABG1                 migration_user      dba
84D735345AD                   migration_user      dba
84B540042G3                   migration_user      dba
84B540046P1                   migration_user      dba
84B516346AHP49                migration_user      dba
84B538288                     migration_user      dba
84D734113ACG2                 migration_user      dba
84D738248                     migration_user      dba
84A229916AE                   infodba             dba
84A229919BK                   infodba             dba
N733DP24026                   migration_user      dba
41C640811P1                   migration_user      dba
497A806P29                    migration_user      dba
84A201738P6                   migration_user      dba
41A223011P1                   migration_user      dba
84A221509G3                   migration_user      dba
41A219134P33                  migration_user      dba
84A229320P2                   migration_user      dba
84B519090P1                   migration_user      dba
L14EP25060                    migration_user      dba
84D734103G2                   migration_user      dba
N14A-FAM                      migration_user      dba
84B519081G1                   migration_user      dba
84D739434G1                   migration_user      dba
41A213767P1                   migration_user      dba
41B541600ALP1                 migration_user      dba
41B541600HVP7                 migration_user      dba
84B546028                     migration_user      dba
84E905183ABG2-DLIN            migration_user      dba
41C641045P1                   migration_user      dba
84C640032P1                   migration_user      dba
84D734103G1                   migration_user      dba
84D740070                     migration_user      dba
84D740105P1                   migration_user      dba
41B541600AMP8                 migration_user      dba
41B541600EMP10                migration_user      dba
84E902995G103                 migration_user      dba
84A228904P2                   migration_user      dba
84C631633G1                   migration_user      dba
84C641225G2                   migration_user      dba
84E905162G1-DLIN              migration_user      dba
497A806P48                    migration_user      dba
497A806P81                    migration_user      dba
497A806P136                   migration_user      dba
41B541600ALP20                migration_user      dba
84C631664                     migration_user      dba
41A222655P1                   migration_user      dba
84A221509                     migration_user      dba
41B541600LBP15                migration_user      dba
41C640144P3                   migration_user      dba
84E905334P1                   migration_user      dba
41C613034G9                   migration_user      dba
84D735116AC                   migration_user      dba
L402P15                       migration_user      dba
84A221100ADK2AS               migration_user      dba
84C640037P1                   migration_user      dba
84E902995G5                   migration_user      dba
84C640161                     migration_user      dba
84A229919-1                   infodba             dba
84A229919AN                   infodba             dba
84A229916BE                   infodba             dba
84A229916BG                   infodba             dba
84C631661P1                   migration_user      dba
41A219134P24                  migration_user      dba
84A220112P5                   migration_user      dba
41A224049P1                   migration_user      dba
84A201738P9                   migration_user      dba
L408AP38                      migration_user      dba
84E905321P1                   migration_user      dba
84A228926P2                   migration_user      dba
41B541600HVP6                 migration_user      dba
41A317303ACP8                 migration_user      dba
84B540059P3                   migration_user      dba
L200FP19                      migration_user      dba
84C636498ACP1                 migration_user      dba
84B543307ABP3                 migration_user      dba
499A910ACP46                  migration_user      dba
84E905194ABG2                 migration_user      dba
84B548896P5                   migration_user      dba
41A213067P2                   migration_user      dba
84B550762P1                   migration_user      dba
M84E905328G1-MOCK             migration_user      dba
41B520835K15B                 migration_user      dba
41B541600AL-FAM               migration_user      dba
499A904AB                     migration_user      dba
41B522023G2                   migration_user      dba
41B541600AAP12                migration_user      dba
84B547406P1                   migration_user      dba
84E902995G101                 migration_user      dba
84A229215SEP1                 migration_user      dba
84E905208G3-DLIN              migration_user      dba
41B541600ERP8                 migration_user      dba
41C641058P2                   migration_user      dba
156B6205UUP77P                migration_user      dba
84D734080                     migration_user      dba
84E905162G2                   migration_user      dba
41B541600ACP74                migration_user      dba
497A806P138                   migration_user      dba
497A806P23                    migration_user      dba
84C633525G1-DLIN              migration_user      dba
41A224263P2                   migration_user      dba
41B541600ALP11                migration_user      dba
41B541600ALP22                migration_user      dba
84A231557P6                   migration_user      dba
84A212948                     migration_user      dba
84A201586                     migration_user      dba
41B520767P7                   migration_user      dba
84C640134P3                   migration_user      dba
84E905866G1-DLIN              migration_user      dba
84E906317G3                   migration_user      dba
41B522055P1                   migration_user      dba
84B543269ABP2                 migration_user      dba
84E902941P1                   migration_user      dba
84A218032P2                   migration_user      dba
84B516346AHP81                migration_user      dba
84A221556P1                   migration_user      dba
L14AP21040                    migration_user      dba
84E905196P6                   migration_user      dba
84E905801H1                   migration_user      dba
84D734503P1                   migration_user      dba
N509P1308                     migration_user      dba
84D734101G1                   migration_user      dba
84E930250P2                   migration_user      dba
84E905131P1                   migration_user      dba
84D735451ABP1                 migration_user      dba
84C631665P2                   migration_user      dba
84A214518P1                   migration_user      dba
84C603763H1                   migration_user      dba
84A228904P7                   migration_user      dba
84C636080P1                   migration_user      dba
84D734147P1                   migration_user      dba
84A229919AG                   infodba             dba
84D736745ABG1                 migration_user      dba
84B539939P1                   migration_user      dba
41A244104MSP17                migration_user      dba
499A910AMP5                   migration_user      dba
41B541600HVP4                 migration_user      dba
41B541600LBP8                 migration_user      dba
84A214535P1                   migration_user      dba
84B540043G1                   migration_user      dba
84C634275                     migration_user      dba
84E905505ABG5                 migration_user      dba
84A237547                     migration_user      dba
84A201706P2                   migration_user      dba
84C640032                     migration_user      dba
41B541600AMP7                 migration_user      dba
L400FP50                      migration_user      dba
84C632211P2                   migration_user      dba
41A222766P1                   migration_user      dba
84A220938P5                   migration_user      dba
84E930098G1                   migration_user      dba
84C640090G7                   migration_user      dba
84B551033                     migration_user      dba
84C633896G1                   migration_user      dba
84B545172                     migration_user      dba
41B541600ERP7                 migration_user      dba
41B541600BD                   migration_user      dba
497A806P87                    migration_user      dba
84A221578                     migration_user      dba
84C640103                     migration_user      dba
84C637270                     migration_user      dba
84C631638P5                   migration_user      dba
41B541600ACP75                migration_user      dba
497A806P55                    migration_user      dba
84C640134G4                   migration_user      dba
41B541600LBP9                 migration_user      dba
84D734162                     migration_user      dba
41B520767P11                  migration_user      dba
41A244104MS                   migration_user      dba
84B540348P1                   migration_user      dba
499A910ACP48                  migration_user      dba
84A231557P32                  migration_user      dba
41B541600LBP11                migration_user      dba
84B550187                     migration_user      dba
84D734100                     migration_user      dba
84B516346AHP34                migration_user      dba
84B516346AHP13                migration_user      dba
84B516346AHP24                migration_user      dba
41C610752P39                  migration_user      dba
84B525907P1                   migration_user      dba
84B516346AHP51                migration_user      dba
AUTOFILLREVHISTIN             infodba             dba
155B9101                      infodba             dba
84D737872P1                   migration_user      dba
L14AP17020                    migration_user      dba
41A214356P1                   migration_user      dba
84A220681P3                   migration_user      dba
84A201594P1                   migration_user      dba
84C632212P1                   migration_user      dba
N14AP46176                    migration_user      dba
L115P36240                    migration_user      dba
84C640198P1                   migration_user      dba
156B6205UUP77H                migration_user      dba
41A213844P7                   migration_user      dba
L25C-FAM                      migration_user      dba
84A237543P1                   migration_user      dba
84C640971P1                   migration_user      dba
84D735345ADP1                 migration_user      dba
84B538271P1                   migration_user      dba
84B525668AJP23                migration_user      dba
84B538291P1                   migration_user      dba
84A228960ABP1                 migration_user      dba
84C622607G6                   migration_user      dba
84E905124G2                   migration_user      dba
84B546681P1                   migration_user      dba
84E905200P4                   migration_user      dba
41B520835K10A                 migration_user      dba
41B520835K28A                 migration_user      dba
84A201733P20                  migration_user      dba
84E905124G1                   migration_user      dba
41A243814-FAM                 migration_user      dba
41A219499-FAM                 migration_user      dba
41B541600AAP10                migration_user      dba
84E901645G2                   migration_user      dba
84A231552P5                   migration_user      dba
41B541600BDP8                 migration_user      dba
41B541600ERP5                 migration_user      dba
84A201701P6                   migration_user      dba
41A213845P9                   migration_user      dba
41A222600ACP1                 migration_user      dba
41B541600ACP49                migration_user      dba
41B541600ACP77                migration_user      dba
497A806P113                   migration_user      dba
497A806P43                    migration_user      dba
84B526119G2                   migration_user      dba
84C608759G4                   migration_user      dba
41B541600ATP26                migration_user      dba
41B541600ATP19                migration_user      dba
84C633261P7                   migration_user      dba
84A231557P5                   migration_user      dba
41B522062                     migration_user      dba
41B541600JKP1                 migration_user      dba
84A201595P4                   migration_user      dba
84C631663                     migration_user      dba
84C640146P1                   migration_user      dba
84E905124P5                   migration_user      dba
84E905322                     migration_user      dba
84D734104ABG1                 migration_user      dba
84D740056G1                   migration_user      dba
L500P7020                     migration_user      dba
84B516346AHP18                migration_user      dba
84A229919AJ                   infodba             dba
AUTOFILLMETRICC               infodba             dba
L115P17014                    migration_user      dba
156B6218CCP123G               migration_user      dba
84B549020P1                   migration_user      dba
41A301309P14                  migration_user      dba
84A228921P3                   migration_user      dba
84E905328G3                   migration_user      dba
84A221592P1                   migration_user      dba
84C632806P1                   migration_user      dba
L115AP24035                   migration_user      dba
L115P23050                    migration_user      dba
L400P10B13                    migration_user      dba
L10P14006                     migration_user      dba
84C632288ABP1                 migration_user      dba
84B548896P6                   migration_user      dba
L123CP25050                   migration_user      dba
41B520835K16B                 migration_user      dba
84B543582                     migration_user      dba
84C637875G1                   migration_user      dba
156B6203PK59A                 migration_user      dba
84A201733P11                  migration_user      dba
41A265996-FAM                 migration_user      dba
84A230623                     migration_user      dba
41B541600HVP8                 migration_user      dba
84C633255P1                   migration_user      dba
84E905162G6                   migration_user      dba
41B541600ALP8                 migration_user      dba
41B541600AN                   migration_user      dba
41B541600ATP24                migration_user      dba
41B541600ATP22                migration_user      dba
84A231557P31                  migration_user      dba
41A213846                     migration_user      dba
41A222600P15                  migration_user      dba
84B551455                     migration_user      dba
41B520767K1A                  migration_user      dba
41B541600BEP8                 migration_user      dba
84A220938                     migration_user      dba
84A234042P1                   migration_user      dba
84D735990                     migration_user      dba
84E905193                     migration_user      dba
84E905756                     migration_user      dba
84D740073G5                   migration_user      dba
84C640138                     migration_user      dba
84E902942G1                   migration_user      dba
41B541600AQP9                 migration_user      dba
84A220306                     migration_user      dba
84B551608                     migration_user      dba
84A229919BP                   infodba             dba
AUTOFILL_INCH_A_REVA          infodba             dba
84D735926P6                   migration_user      dba
84E905282P5                   migration_user      dba
84C634276G1                   migration_user      dba
84E905869ABG1                 migration_user      dba
84B526187AEG1                 migration_user      dba
L115P19090                    migration_user      dba
84E905134P2                   migration_user      dba
84D740105P2                   migration_user      dba
L506P22030                    migration_user      dba
L15P46150                     migration_user      dba
41A221572P152                 migration_user      dba
L14AP17070                    migration_user      dba
156B6205CCP65G                migration_user      dba
L14AP19025                    migration_user      dba
41B541600SNP1                 migration_user      dba
N5601-FAM                     migration_user      dba
84A237544P1                   migration_user      dba
499A910ACP42                  migration_user      dba
84B543307P25                  migration_user      dba
84D735947ABP1                 migration_user      dba
41B541600GYP10                migration_user      dba
41B541600GYP3                 migration_user      dba
84B548896P2                   migration_user      dba
84B538286P1                   migration_user      dba
84A228960ABP6                 migration_user      dba
84E905365ACG4                 migration_user      dba
84B540079P1                   migration_user      dba
84C634276                     migration_user      dba
84E905228G1                   migration_user      dba
84E906227G2                   migration_user      dba
84A214535                     migration_user      dba
84A233228P25                  migration_user      dba
84A233228P24                  migration_user      dba
41C641047P1                   migration_user      dba
499A903AB                     migration_user      dba
41B541600HVP5                 migration_user      dba
84D738603G1                   migration_user      dba
84C634950G2                   migration_user      dba
41B541600ALP12                migration_user      dba
41B541600ALP19                migration_user      dba
84E905268G1-DLIN              migration_user      dba
156B6377BHK281B               migration_user      dba
84A231557P35                  migration_user      dba
84A234341P1                   migration_user      dba
41B520767P13                  migration_user      dba
41C613034                     migration_user      dba
41C640810                     migration_user      dba
84D734110                     migration_user      dba
41B541600ALP9                 migration_user      dba
84C618760G1                   migration_user      dba
84E905131G4                   migration_user      dba
84E905211G5                   migration_user      dba
41B514795                     migration_user      dba
41C613033                     migration_user      dba
84B109465                     migration_user      dba
84B516346AHP9                 migration_user      dba
84B516346AHP75                migration_user      dba
84B526381                     migration_user      dba
41A222600P10                  migration_user      dba
41B541600GBP10                migration_user      dba
84C631604ABG2                 migration_user      dba
L400P31                       migration_user      dba
84B538202P2                   migration_user      dba
84A237269A1                   migration_user      dba
84B540080P2                   migration_user      dba
84C631600G2                   migration_user      dba
84E905131P2                   migration_user      dba
84C640103P1                   migration_user      dba
84E905221P1                   migration_user      dba
84E905204G3                   migration_user      dba
84B540632P1                   migration_user      dba
L5900-FAM                     migration_user      dba
84E905522G108                 migration_user      dba
84B519084G1                   migration_user      dba
41A296326DHP12                migration_user      dba
84C636527ABG2                 migration_user      dba
84B543307P27                  migration_user      dba
41A296332ASP1                 migration_user      dba
84A228971P6                   migration_user      dba
499A910AMP8                   migration_user      dba
84D735452H1                   migration_user      dba
41B541600HVP1                 migration_user      dba
84B543582P1                   migration_user      dba
84B538259P2                   migration_user      dba
84A228952P6                   migration_user      dba
84E905140                     migration_user      dba
